,slug,name,playtime,released,rating,rating_top,ratings_count,suggestions_count,reviews_text_count,added,reviews_count,esrb_rating,background_image
0,the-elder-scrolls-v-skyrim,The Elder Scrolls V: Skyrim,46,2011-11-11,4.42,5,4082,586,23,13742,4116,mature,https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg
1,fallout-4,Fallout 4,42,2015-11-09,3.8,4,2912,444,17,11401,2937,mature,https://media.rawg.io/media/games/d82/d82990b9c67ba0d2d09d4e6fa88885a7.jpg
2,payday-2,PAYDAY 2,9,2013-08-13,3.5,4,1874,410,13,11008,1889,adults-only,https://media.rawg.io/media/games/73e/73eecb8909e0c39fb246f457b5d6cbbe.jpg
3,terraria,Terraria,13,2011-05-16,4.04,4,1985,287,11,10208,2003,teen,https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg
4,batman-arkham-knight,Batman: Arkham Knight,20,2015-06-23,4.22,4,2271,652,11,9787,2287,mature,https://media.rawg.io/media/games/310/3106b0e012271c5ffb16497b070be739.jpg
5,mirrors-edge,Mirror's Edge,3,2008-11-11,4.07,4,2035,323,10,9051,2048,teen,https://media.rawg.io/media/games/8e4/8e4de3f54ac659e08a7ba6a2b731682a.jpg
6,hollow-knight,Hollow Knight,6,2017-02-23,4.41,5,2101,483,25,8838,2140,everyone-10-plus,https://media.rawg.io/media/games/4cf/4cfc6b7f1850590a4634b08bfab308ab.jpg
7,wolfenstein-the-new-order,Wolfenstein: The New Order,12,2014-05-19,4.19,4,2164,674,10,8419,2179,mature,https://media.rawg.io/media/games/c80/c80bcf321da44d69b18a06c04d942662.jpg
8,prey,Prey,10,2017-05-05,4.28,5,1884,618,19,8179,1916,mature,https://media.rawg.io/media/games/e6d/e6de699bd788497f4b52e2f41f9698f2.jpg
9,dead-space,Dead Space,3,2008-10-13,4.37,5,1924,693,12,8113,1940,mature,https://media.rawg.io/media/games/ebd/ebdbb7eb52bd58b0e7fa4538d9757b60.jpg
10,mass-effect-2,Mass Effect 2,21,2010-01-26,4.48,5,2613,583,11,8052,2631,mature,https://media.rawg.io/media/games/3cf/3cff89996570cf29a10eb9cd967dcf73.jpg
11,for-honor,For Honor,7,2017-02-13,3.3,4,1514,701,6,8039,1522,mature,https://media.rawg.io/media/games/4e0/4e0e7b6d6906a131307c94266e5c9a1c.jpg
12,stardew-valley,Stardew Valley,11,2016-02-25,4.4,5,1941,270,15,7958,1965,everyone-10-plus,https://media.rawg.io/media/games/713/713269608dc8f2f40f5a670a14b2de94.jpg
13,fallout-new-vegas,Fallout: New Vegas,12,2010-10-19,4.43,5,2146,582,9,7937,2161,mature,https://media.rawg.io/media/games/995/9951d9d55323d08967640f7b9ab3e342.jpg
14,hellblade-senuas-sacrifice,Hellblade: Senua's Sacrifice,6,2017-08-07,4.26,5,1931,455,32,7926,1976,mature,https://media.rawg.io/media/games/63f/63f0e68688cad279ed38cde931dbfcdb.jpg
15,mass-effect,Mass Effect,8,2007-11-16,4.4,5,2328,506,12,7695,2348,mature,https://media.rawg.io/media/games/a6c/a6ccd34125c594abf1a9c9821b9a715d.jpg
16,dishonored-2,Dishonored 2,13,2016-11-10,4.26,4,1672,684,10,7523,1686,mature,https://media.rawg.io/media/games/f6b/f6bed028b02369d4cab548f4f9337e81.jpg
17,jedi-the-fallen-order,Star Wars Jedi: Fallen Order,8,2019-11-15,4.15,4,1754,544,39,7272,1803,teen,https://media.rawg.io/media/games/559/559bc0768f656ad0c63c54b80a82d680.jpg
18,brutal-legend,Brutal Legend,5,2009-10-12,3.65,4,979,644,3,7187,984,,https://media.rawg.io/media/games/af7/af7a831001c5c32c46e950cc883b8cb7.jpg
19,psychonauts,Psychonauts,4,2005-04-01,4.02,5,840,418,9,6934,851,teen,https://media.rawg.io/media/games/c89/c89ca70716080733d03724277df2c6c7.jpg
20,titanfall-2,Titanfall 2,5,2016-10-28,4.31,4,1744,592,24,6925,1774,mature,https://media.rawg.io/media/games/569/56978b5a77f13aa2ec5d09ec81d01cad.jpg
21,cities-skylines,Cities: Skylines,8,2015-03-10,4.14,4,1282,427,6,6866,1291,everyone,https://media.rawg.io/media/games/25c/25c4776ab5723d5d735d8bf617ca12d9.jpg
22,firewatch,Firewatch,5,2016-02-08,4.31,5,2138,396,21,6767,2168,mature,https://media.rawg.io/media/games/0be/0bea0a08a4d954337305391b778a7f37.jpg
23,minecraft,Minecraft,26,2009-05-10,4.42,5,2309,342,22,6759,2351,everyone-10-plus,https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg
24,far-cry-5,Far Cry 5,18,2018-03-27,3.73,4,1768,388,22,6757,1798,mature,https://media.rawg.io/media/games/bce/bce62fbc7cf74bf6a1a37340993ec148.jpg
25,inside,INSIDE,4,2016-06-28,4.4,5,2169,247,23,6735,2198,teen,https://media.rawg.io/media/games/d5a/d5a24f9f71315427fa6e966fdd98dfa6.jpg
26,alien-isolation,Alien: Isolation,4,2014-10-05,4.2,5,1262,510,4,6713,1270,mature,https://media.rawg.io/media/games/daa/daaee07fcb40744d90cf8142f94a241f.jpg
27,middle-earth-shadow-of-war,Middle-earth: Shadow of War,13,2017-09-27,3.84,4,1149,373,6,6697,1159,mature,https://media.rawg.io/media/games/21a/21ad672cedee9b4378abb6c2d2e626ee.jpg
28,assassins-creed-odyssey,Assassin's Creed Odyssey,31,2018-10-05,4.02,4,1703,639,18,6596,1728,mature,https://media.rawg.io/media/games/c6b/c6bd26767c1053fef2b10bb852943559.jpg
29,undertale,Undertale,5,2015-09-14,4.35,5,1529,119,18,6586,1554,everyone-10-plus,https://media.rawg.io/media/games/ffe/ffed87105b14f5beff72ff44a7793fd5.jpg
30,assassins-creed-origins,Assassin's Creed Origins,32,2017-10-27,4.0,4,1733,321,19,6429,1757,mature,https://media.rawg.io/media/games/336/336c6bd63d83cf8e59937ab8895d1240.jpg
31,tom-clancys-rainbow-six-siege-2,Tom Clancy's Rainbow Six Siege,29,2015-12-01,3.92,4,1317,453,8,6422,1329,teen,https://media.rawg.io/media/games/b34/b3419c2706f8f8dbe40d08e23642ad06.jpg
32,battlefield-1,Battlefield 1,5,2016-10-21,3.81,4,1689,614,7,6337,1699,,https://media.rawg.io/media/games/998/9980c4296f311d8bcc5b451ca51e4fe1.jpg
33,no-mans-sky,No Man's Sky,13,2016-08-09,3.68,4,1293,738,7,6219,1303,teen,https://media.rawg.io/media/games/174/1743b3dd185bda4a7be349347d4064df.jpg
34,ark-survival-evolved,ARK: Survival Evolved,6,2015-06-02,3.11,3,474,586,2,6064,477,,https://media.rawg.io/media/games/58a/58ac7f6569259dcc0b60b921869b19fc.jpg
35,ori-and-the-blind-forest-definitive-edition,Ori and the Blind Forest: Definitive Edition,5,2016-04-27,4.43,5,1443,484,16,6029,1466,everyone,https://media.rawg.io/media/games/04a/04a7e7e185fb51493bdcbe1693a8b3dc.jpg
36,wolfenstein-2-the-new-colossus,Wolfenstein II: The New Colossus,11,2017-10-25,4.1,4,1520,612,10,5967,1538,mature,https://media.rawg.io/media/games/a0e/a0ef08621301a1eab5e04fa5c96978fa.jpeg
37,dragon-age-origins,Dragon Age: Origins,8,2009-11-03,4.4,5,1667,646,5,5887,1673,mature,https://media.rawg.io/media/games/dc0/dc0926d3f84ffbcc00968fe8a6f0aed3.jpg
38,halo-infinite,Halo Infinite,2,2021-12-08,3.75,4,481,859,8,5849,491,teen,https://media.rawg.io/media/games/e1f/e1ffbeb1bac25b19749ad285ca29e158.jpg
39,doom-eternal,DOOM Eternal,12,2020-03-20,4.38,5,1041,648,20,5795,1068,mature,https://media.rawg.io/media/games/3ea/3ea3c9bbd940b6cb7f2139e42d3d443f.jpg
40,fallout-3,Fallout 3,4,2008-10-28,4.08,4,1675,636,5,5656,1683,mature,https://media.rawg.io/media/games/5a4/5a4e70bb8a862829dbaa398aa5f66afc.jpg
41,dead-space-2,Dead Space 2,5,2011-01-25,4.36,5,1204,647,3,5656,1210,mature,https://media.rawg.io/media/games/ae1/ae1518c3dc1e847344661905fd2a8d16.jpg
42,halo-the-master-chief-collection,Halo: The Master Chief Collection,6,2014-11-11,4.27,5,959,608,5,5564,965,,https://media.rawg.io/media/games/c24/c24f4434882ae9c2c8d9d38de82cb7a5.jpg
43,quantum-break,Quantum Break,7,2016-04-05,3.92,4,1147,503,12,5545,1161,mature,https://media.rawg.io/media/games/a28/a289e23b4d4d84f26ab59125e3be4483.jpg
44,grim-fandango-remastered,Grim Fandango Remastered,5,2015-01-26,3.99,5,838,550,4,5542,843,teen,https://media.rawg.io/media/games/df2/df20fd77db56ae7b0a26a7ff4baa9ccc.jpg
45,dead-cells,Dead Cells,10,2018-08-07,4.25,4,1383,350,17,5454,1404,teen,https://media.rawg.io/media/games/f90/f90ee1a4239247a822771c40488e68c5.jpg
